OBJECTID,visited_status,recycling_time_visited,rubbish_time_visited
2157,RUBBISH,,2021-06-19 12:18:56
3229,RUBBISH,,2021-06-19 12:18:41
4224,RUBBISH,,2021-06-19 14:02:32
4256,RUBBISH,,2021-06-19 14:39:32
4260,RUBBISH,,2021-06-19 14:38:46
5859,RUBBISH,,2021-06-19 14:33:28
5860,RUBBISH,,2021-06-19 14:15:20
5863,RUBBISH,,2021-06-19 13:50:25
5899,RUBBISH,,2021-06-19 12:44:26
5904,RUBBISH,,2021-06-19 12:44:56
5967,RUBBISH,,2021-06-19 13:48:56
5975,RUBBISH,,2021-06-19 16:45:15
5978,RUBBISH,,2021-06-19 16:45:00
5980,RUBBISH,,2021-06-19 16:44:45
5984,RUBBISH,,2021-06-19 16:59:40
5985,RUBBISH,,2021-06-19 16:06:28
5990,RUBBISH,,2021-06-19 16:46:03
5991,RUBBISH,,2021-06-19 16:59:33
6011,RUBBISH,,2021-06-19 14:41:00
6015,RUBBISH,,2021-06-19 15:05:40
6040,RUBBISH,,2021-06-19 15:41:19
6042,RUBBISH,,2021-06-19 16:59:48
6044,RUBBISH,,2021-06-19 15:49:38
6045,RUBBISH,,2021-06-19 15:47:22
6341,BOTH,2021-06-19 15:18:17,2021-06-19 13:32:58
6342,RUBBISH,,2021-06-19 13:14:59
6344,RUBBISH,,2021-06-19 16:53:29
6345,RECYCLE,2021-06-19 14:56:55,
6352,RUBBISH,,2021-06-19 11:58:55
6363,RUBBISH,,2021-06-19 13:04:09
6372,RUBBISH,,2021-06-19 14:14:15
6373,RUBBISH,,2021-06-19 14:13:29
6374,RUBBISH,,2021-06-19 13:05:10
6375,RUBBISH,,2021-06-19 14:05:17
6377,RUBBISH,,2021-06-19 14:16:03
6477,RUBBISH,,2021-06-19 13:04:55
7381,RECYCLE,2021-06-19 14:56:39,
7382,RUBBISH,,2021-06-19 15:25:05
7385,BOTH,2021-06-19 15:48:42,2021-06-19 14:49:41
7417,BOTH,2021-06-19 18:35:16,2021-06-19 16:41:26
7418,RUBBISH,,2021-06-19 16:40:56
7419,RUBBISH,,2021-06-19 15:00:10
7420,RUBBISH,,2021-06-19 12:23:32
7421,RUBBISH,,2021-06-19 12:18:55
7422,RUBBISH,,2021-06-19 16:40:40
7423,BOTH,2021-06-19 18:35:08,2021-06-19 16:27:04
7424,BOTH,2021-06-19 18:36:18,2021-06-19 15:48:07
7428,RUBBISH,,2021-06-19 15:23:42
7432,BOTH,2021-06-19 18:36:10,2021-06-19 15:47:05
7433,RUBBISH,,2021-06-19 12:13:01
7434,BOTH,2021-06-19 18:35:47,2021-06-19 18:12:33
